Image,Index,Name,Type 1,Type 2,Total,HP,Attack,Defense,SP. Atk.,SP. Def,Speed,matched_name,moves
images/1.png,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,bulbasaur,"acid-spray, amnesia, attract, bide, bind, body-slam, bullet-seed, captivate, charm, confide, curse, cut, defense-curl, double-edge, double-team, echoed-voice, endure, energy-ball, facade, false-swipe, flash, frustration, fury-cutter, giga-drain, grass-knot, grass-pledge, grass-whistle, grassy-glide, grassy-terrain, growl, growth, headbutt, helping-hand, hidden-power, ingrain, knock-off, leaf-storm, leech-seed, light-screen, magical-leaf, mega-drain, mimic, mud-slap, natural-gift, nature-power, outrage, petal-dance, poison-powder, power-whip, protect, rage, razor-leaf, razor-wind, reflect, rest, return, rock-smash, round, safeguard, secret-power, seed-bomb, skull-bash, sleep-powder, sleep-talk, sludge, sludge-bomb, snore, solar-beam, strength, string-shot, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, tackle, take-down, tera-blast, toxic, trailblaze, venoshock, vine-whip, weather-ball, work-up, worry-seed"
images/2.png,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,ivysaur,"acid-spray, amnesia, attract, bide, bind, body-slam, bullet-seed, captivate, charm, confide, curse, cut, defense-curl, double-edge, double-team, echoed-voice, endure, energy-ball, facade, false-swipe, flash, frustration, fury-cutter, giga-drain, grass-knot, grass-pledge, grassy-glide, grassy-terrain, growl, growth, headbutt, helping-hand, hidden-power, ingrain, knock-off, leaf-storm, leech-seed, light-screen, magical-leaf, mega-drain, mimic, mud-slap, natural-gift, nature-power, outrage, petal-dance, poison-powder, power-whip, protect, rage, razor-leaf, reflect, rest, return, roar, rock-smash, round, safeguard, secret-power, seed-bomb, sleep-powder, sleep-talk, sludge-bomb, snore, solar-beam, strength, string-shot, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, tackle, take-down, tera-blast, toxic, trailblaze, venoshock, vine-whip, weather-ball, work-up, worry-seed"
images/3.png,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,venusaur,"acid-spray, amnesia, attract, bide, bind, block, body-slam, bulldoze, bullet-seed, captivate, charm, confide, curse, cut, defense-curl, double-edge, double-team, earth-power, earthquake, echoed-voice, endure, energy-ball, facade, false-swipe, flash, frenzy-plant, frustration, fury-cutter, giga-drain, giga-impact, grass-knot, grass-pledge, grassy-glide, grassy-terrain, growl, growth, headbutt, helping-hand, hidden-power, hyper-beam, ingrain, knock-off, leaf-storm, leech-seed, light-screen, magical-leaf, mega-drain, mimic, mud-slap, natural-gift, nature-power, outrage, petal-blizzard, petal-dance, poison-jab, poison-powder, power-whip, protect, rage, razor-leaf, reflect, rest, return, roar, rock-climb, rock-smash, round, safeguard, scary-face, secret-power, seed-bomb, sleep-powder, sleep-talk, sludge-bomb, snore, solar-beam, stomping-tantrum, strength, string-shot, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, tackle, take-down, tera-blast, terrain-pulse, toxic, trailblaze, venoshock, vine-whip, weather-ball, work-up, worry-seed"
images/4.png,3,venusaur-mega venusaur,Grass,Poison,625,80,100,123,122,120,80,venusaur,"acid-spray, amnesia, attract, bide, bind, block, body-slam, bulldoze, bullet-seed, captivate, charm, confide, curse, cut, defense-curl, double-edge, double-team, earth-power, earthquake, echoed-voice, endure, energy-ball, facade, false-swipe, flash, frenzy-plant, frustration, fury-cutter, giga-drain, giga-impact, grass-knot, grass-pledge, grassy-glide, grassy-terrain, growl, growth, headbutt, helping-hand, hidden-power, hyper-beam, ingrain, knock-off, leaf-storm, leech-seed, light-screen, magical-leaf, mega-drain, mimic, mud-slap, natural-gift, nature-power, outrage, petal-blizzard, petal-dance, poison-jab, poison-powder, power-whip, protect, rage, razor-leaf, reflect, rest, return, roar, rock-climb, rock-smash, round, safeguard, scary-face, secret-power, seed-bomb, sleep-powder, sleep-talk, sludge-bomb, snore, solar-beam, stomping-tantrum, strength, string-shot, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, tackle, take-down, tera-blast, terrain-pulse, toxic, trailblaze, venoshock, vine-whip, weather-ball, work-up, worry-seed"
images/5.png,4,Charmander,Fire,,309,39,52,43,60,50,65,charmander,"acrobatics, aerial-ace, air-cutter, ancient-power, attract, beat-up, belly-drum, bide, bite, body-slam, breaking-swipe, brick-break, captivate, confide, counter, crunch, curse, cut, defense-curl, dig, double-edge, double-team, dragon-breath, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dynamic-punch, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, flame-burst, flame-charge, flamethrower, flare-blitz, fling, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, growl, headbutt, heat-wave, helping-hand, hidden-power, hone-claws, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, natural-gift, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, round, scary-face, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, slash, sleep-talk, smokescreen, snore, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, take-down, temper-flare, tera-blast, thunder-punch, toxic, weather-ball, will-o-wisp, wing-attack, work-up"
images/6.png,5,Charmeleon,Fire,,405,58,64,58,80,65,80,charmeleon,"acrobatics, aerial-ace, ancient-power, attract, beat-up, belly-drum, bide, bite, body-slam, breaking-swipe, brick-break, captivate, confide, counter, crunch, curse, cut, defense-curl, dig, double-edge, double-team, dragon-breath, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dynamic-punch, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, flame-burst, flame-charge, flamethrower, flare-blitz, fling, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, growl, headbutt, heat-wave, helping-hand, hidden-power, hone-claws, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, natural-gift, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, round, scary-face, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, slash, sleep-talk, smokescreen, snore, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, take-down, temper-flare, tera-blast, thunder-punch, toxic, weather-ball, will-o-wisp, work-up"
images/7.png,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,charizard,"acrobatics, aerial-ace, air-cutter, air-slash, ancient-power, attract, beat-up, belly-drum, bide, bite, blast-burn, blaze-kick, body-slam, breaking-swipe, brick-break, brutal-swing, bulldoze, captivate, confide, counter, crunch, curse, cut, defense-curl, defog, dig, double-edge, double-team, dragon-breath, dragon-cheer, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dual-wingbeat, dynamic-punch, earthquake, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, fissure, flame-burst, flame-charge, flamethrower, flare-blitz, fling, fly, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, giga-impact, growl, headbutt, heat-crash, heat-wave, helping-hand, hidden-power, hone-claws, hurricane, hyper-beam, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, mystical-fire, natural-gift, ominous-wind, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, roost, round, sandstorm, scale-shot, scary-face, scorching-sands, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, sky-drop, slash, sleep-talk, smokescreen, snore, solar-beam, steel-wing, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, tailwind, take-down, temper-flare, tera-blast, thunder-punch, toxic, twister, weather-ball, will-o-wisp, wing-attack, work-up"
images/8.png,6,charizard-mega charizard x,Fire,Dragon,634,78,130,111,130,85,100,charizard,"acrobatics, aerial-ace, air-cutter, air-slash, ancient-power, attract, beat-up, belly-drum, bide, bite, blast-burn, blaze-kick, body-slam, breaking-swipe, brick-break, brutal-swing, bulldoze, captivate, confide, counter, crunch, curse, cut, defense-curl, defog, dig, double-edge, double-team, dragon-breath, dragon-cheer, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dual-wingbeat, dynamic-punch, earthquake, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, fissure, flame-burst, flame-charge, flamethrower, flare-blitz, fling, fly, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, giga-impact, growl, headbutt, heat-crash, heat-wave, helping-hand, hidden-power, hone-claws, hurricane, hyper-beam, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, mystical-fire, natural-gift, ominous-wind, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, roost, round, sandstorm, scale-shot, scary-face, scorching-sands, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, sky-drop, slash, sleep-talk, smokescreen, snore, solar-beam, steel-wing, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, tailwind, take-down, temper-flare, tera-blast, thunder-punch, toxic, twister, weather-ball, will-o-wisp, wing-attack, work-up"
images/9.png,6,charizard-mega charizard y,Fire,Flying,634,78,104,78,159,115,100,charizard,"acrobatics, aerial-ace, air-cutter, air-slash, ancient-power, attract, beat-up, belly-drum, bide, bite, blast-burn, blaze-kick, body-slam, breaking-swipe, brick-break, brutal-swing, bulldoze, captivate, confide, counter, crunch, curse, cut, defense-curl, defog, dig, double-edge, double-team, dragon-breath, dragon-cheer, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dragon-rush, dragon-tail, dual-wingbeat, dynamic-punch, earthquake, echoed-voice, ember, endure, facade, false-swipe, fire-blast, fire-fang, fire-pledge, fire-punch, fire-spin, fissure, flame-burst, flame-charge, flamethrower, flare-blitz, fling, fly, focus-blast, focus-punch, frustration, fury-cutter, fury-swipes, giga-impact, growl, headbutt, heat-crash, heat-wave, helping-hand, hidden-power, hone-claws, hurricane, hyper-beam, incinerate, inferno, iron-tail, leer, mega-kick, mega-punch, metal-claw, mimic, mud-slap, mystical-fire, natural-gift, ominous-wind, outrage, overheat, power-up-punch, protect, rage, reflect, rest, return, roar, rock-slide, rock-smash, rock-tomb, roost, round, sandstorm, scale-shot, scary-face, scorching-sands, scratch, secret-power, seismic-toss, shadow-claw, skull-bash, sky-drop, slash, sleep-talk, smokescreen, snore, solar-beam, steel-wing, strength, submission, substitute, sunny-day, swagger, swift, swords-dance, tailwind, take-down, temper-flare, tera-blast, thunder-punch, toxic, twister, weather-ball, will-o-wisp, wing-attack, work-up"
images/10.png,7,Squirtle,Water,,314,44,48,65,50,64,43,squirtle,"aqua-jet, aqua-ring, aqua-tail, attract, aura-sphere, bide, bite, blizzard, body-slam, brick-break, brine, bubble, bubble-beam, captivate, chilling-water, confide, confusion, counter, curse, defense-curl, dig, dive, double-edge, double-team, dragon-pulse, dynamic-punch, endure, facade, fake-out, false-swipe, flail, fling, flip-turn, focus-punch, follow-me, foresight, frustration, gyro-ball, hail, haze, headbutt, helping-hand, hidden-power, hydro-pump, ice-beam, ice-punch, ice-spinner, icy-wind, iron-defense, iron-tail, life-dew, liquidation, mega-kick, mega-punch, mimic, mirror-coat, mist, mud-shot, mud-slap, mud-sport, muddy-water, natural-gift, outrage, power-up-punch, protect, rage, rain-dance, rapid-spin, reflect, refresh, rest, return, rock-slide, rock-smash, rock-tomb, rollout, round, scald, secret-power, seismic-toss, shell-smash, skull-bash, sleep-talk, snore, strength, submission, substitute, surf, swagger, tackle, tail-whip, take-down, tera-blast, toxic, water-gun, water-pledge, water-pulse, water-spout, waterfall, wave-crash, weather-ball, whirlpool, withdraw, work-up, yawn, zen-headbutt"
